date,Binance,Bitmex,Ftx
2020-06-05T19:10,9458224,9458224,13139758
2020-06-05T19:20,9458224,9458224,13150385
2020-06-05T19:30,9462735,9462735,13153891
2020-06-05T19:40,9462735,9462735,13153890
2020-06-05T19:50,9464216,9464216,13192373
2020-06-05T20:00,9496808,9496808,13190220
2020-06-05T20:10,9496808,9496808,13222076
2020-06-05T20:20,9499159,9499159,13213015
2020-06-05T20:30,9498138,9498138,13150024
2020-06-05T20:40,9498138,9498138,13135461
2020-06-05T20:50,9533682,9533682,13132008
2020-06-05T21:00,9525457,9525457,13141376
2020-06-05T21:10,9525457,9525457,13149416
2020-06-05T21:20,9578933,9578933,13151499
2020-06-05T21:30,9591226,9591226,13185106
2020-06-05T21:40,9591226,9591226,13189113
2020-06-05T21:50,9590563,9590563,13151955
2020-06-05T22:00,9591654,9591654,13107498
2020-06-05T22:10,9591654,9591654,13076233
2020-06-05T22:20,9620665,9620665,13119069
2020-06-05T22:30,9617714,9617714,13095163
2020-06-05T22:40,9617714,9617714,13106386
2020-06-05T22:50,9621114,9621114,13099120
2020-06-05T23:00,9622677,9622677,13095248
2020-06-05T23:10,9622677,9622677,13100801
2020-06-05T23:20,9600442,9600442,13099788
2020-06-05T23:30,9602728,9602728,13110659
2020-06-05T23:40,9602728,9602728,13147672
2020-06-05T23:50,9572434,9572434,13077304
2020-06-06T00:00,9598421,9598421,13075098
