date,Huobi
2020-06-12T07:10,11100280
2020-06-12T07:20,11120050
2020-06-12T07:30,11155420
2020-06-12T07:40,11208760
2020-06-12T07:50,11225250
2020-06-12T08:00,11296060
2020-06-12T08:10,11270130
2020-06-12T08:20,11331220
2020-06-12T08:30,11324550
2020-06-12T08:40,11329640
2020-06-12T08:50,11273250
2020-06-12T09:00,11325620
2020-06-12T09:10,11272710
2020-06-12T09:20,11275960
2020-06-12T09:30,11348960
2020-06-12T09:40,11283210
2020-06-12T09:50,11243220
2020-06-12T10:00,11241190
2020-06-12T10:10,11232950
2020-06-12T10:20,11245530
2020-06-12T10:30,11283480
2020-06-12T10:40,11305340
2020-06-12T10:50,11298350
2020-06-12T11:00,11299430
2020-06-12T11:10,11325520
2020-06-12T11:20,11237370
2020-06-12T11:30,11255250
2020-06-12T11:40,11219410
2020-06-12T11:50,11188430
2020-06-12T12:00,11188430
2020-06-12T12:10,11361110
2020-06-12T12:20,11337890
2020-06-12T12:30,11375170
2020-06-12T12:40,11377000
2020-06-12T12:50,11364700
2020-06-12T13:00,11363920
2020-06-12T13:10,11384970
2020-06-12T13:20,11400500
2020-06-12T13:30,11414070
2020-06-12T13:40,11309670
2020-06-12T13:50,11387160
2020-06-12T14:00,11569680
2020-06-12T14:10,11439770
2020-06-12T14:20,11437160
2020-06-12T14:30,11462240
2020-06-12T14:40,11586160
2020-06-12T14:50,11595320
2020-06-12T15:00,11648980
2020-06-12T15:10,11599460
2020-06-12T15:20,11571660
2020-06-12T15:30,11613310
2020-06-12T15:40,11579590
2020-06-12T15:50,11557230
2020-06-12T16:00,11626470
2020-06-12T16:10,11624560
2020-06-12T16:20,11728350
2020-06-12T16:30,11704240
2020-06-12T16:40,11688280
2020-06-12T16:50,11713860
2020-06-12T17:00,11718640
2020-06-12T17:10,11683460
2020-06-12T17:20,11639100
2020-06-12T17:30,11625380
2020-06-12T17:40,11632140
2020-06-12T17:50,11554580
2020-06-12T18:00,11546740
2020-06-12T18:10,11542230
2020-06-12T18:20,11589560
2020-06-12T18:30,11605190
2020-06-12T18:40,11570440
2020-06-12T18:50,11540310
2020-06-12T19:00,11555290
2020-06-12T19:10,11554560
