date,Binance,Bitmex,Ftx,Huobi,Okex
2020-06-05T19:10,61717196,27789034,56150641,35339510,30370230
2020-06-05T19:20,61717196,27774934,56144969,35373290,30361250
2020-06-05T19:30,61830887,27994298,56067508,35428580,30255550
2020-06-05T19:40,61907137,28219842,56198604,35576440,30224360
2020-06-05T19:50,61907137,28193472,56212545,35510350,30247660
2020-06-05T20:00,61941097,28032702,56086823,35412620,30279130
2020-06-05T20:10,61830047,40958519,56205048,35400770,30185560
2020-06-05T20:20,61830047,40935598,56195868,35389060,30174800
2020-06-05T20:30,61823146,40924942,55776297,35323140,30093550
2020-06-05T20:40,61603512,41001216,55870207,35732540,30171930
2020-06-05T20:50,61603512,41120116,55891200,35564250,30196060
2020-06-05T21:00,61678596,27315860,56145594,35769350,30199750
2020-06-05T21:10,61562987,27253728,55791112,35733320,30202300
2020-06-05T21:20,61562987,27316682,55807659,35815280,30174030
2020-06-05T21:30,61464295,61464295,55786979,35934860,30205760
2020-06-05T21:40,61552987,61552987,55905225,35929920,30198850
2020-06-05T21:50,61552987,61552987,55954519,35883420,30120000
2020-06-05T22:00,61489708,61489708,55697150,36135220,30375510
2020-06-05T22:10,61250821,61250821,55567908,36323190,30242750
2020-06-05T22:20,61250821,61250821,55865406,35963730,30154360
2020-06-05T22:30,61214428,61214428,55720305,36193010,30138070
2020-06-05T22:40,61268693,41160205,55719672,36485200,30243980
2020-06-05T22:50,61268693,41247817,55691903,36273530,30272330
2020-06-05T23:00,61222013,41235868,55738069,36296090,30281800
2020-06-05T23:10,61175376,41224421,55467467,36272600,30252230
2020-06-05T23:20,61175376,41170092,55351282,36781760,30351280
2020-06-05T23:30,60376209,41014602,55729309,36579950,30286650
2020-06-05T23:40,60440826,41014730,55731348,36483040,30315350
2020-06-05T23:50,60440826,41077152,55474973,36578900,30335080
