date,XBTU20,ETHM20,XRPM20
2020-06-08T12:40,156629714,100775,30796431
2020-06-08T12:50,156602230,100761,30741981
2020-06-08T13:00,156658696,100762,30751981
2020-06-08T13:10,156644636,100764,30757455
2020-06-08T13:20,156647052,100779,30846463
2020-06-08T13:30,156647310,100777,30870363
2020-06-08T13:40,156659182,100778,30871728
2020-06-08T13:50,156607613,100779,30892532
2020-06-08T14:00,156610498,100771,30892632
2020-06-08T14:10,156611687,100763,31033645
2020-06-08T14:20,156610050,100775,31033650
2020-06-08T14:30,156643359,100757,31024524
2020-06-08T14:40,156640250,100739,30988020
2020-06-08T14:50,156631244,100728,31023966
2020-06-08T15:00,156676001,100730,31140953
